# HSK1 vocabulary — the level-1 word table of the national standard.
#
# source: 《国际中文教育中文水平等级标准》(GF 0025-2021) 6.1 一级词汇表, entries 1-500
# source: http://www.moe.gov.cn/jyb_sjzl/ziliao/A19/202111/W020211118507389477190.pdf
#
# This is the transcription of record: number, the word as the table prints it,
# and the pinyin column as the table prints it. hsk1.txt is derived from this
# file and pipeline/tests/test_wordlist_hsk1.py asserts the two agree, so a
# correction belongs here and is then regenerated with `make wordlist`.
#
# Notation, kept as printed:
#   爸爸|爸      two accepted forms
#   白（形）     part of speech; 第（第二）and 子（桌子）are examples, not forms
#   有（一）些   an optional element inside the word: both forms are words
#   好玩ㄦ       commonly said with erhua
#   帮忙 bāng//máng   a separable verb
#   出来 chū/·lái     a neutral-tone option
#
# Transcribed from the scanned PDF, which carries no text layer. Two machine
# checks stand behind it: the numbering must run 1-500 unbroken, and every
# row's characters must agree with its own pinyin column under pypinyin —
# two independently read columns confirming each other. 47 rows differ only in
# neutral tone (爸爸 bàba against the dictionary form bàbà), which the check
# allows; no row disagreed on a character.
1	爱	ài
2	爱好	àihào
3	八	bā
4	爸爸|爸	bàba|bà
5	吧	ba
6	白（形）	bái
7	白天	báitiān
8	百	bǎi
9	班	bān
10	半	bàn
11	半年	bàn nián
12	半天	bàntiān
13	帮	bāng
14	帮忙	bāng//máng
15	包	bāo
16	包子	bāozi
17	杯	bēi
18	杯子	bēizi
19	北	běi
20	北边	běibian
21	北京	Běijīng
22	本（量）	běn
23	本子	běnzi
24	比	bǐ
25	别（副）	bié
26	别的	biéde
27	别人	bié·rén
28	病	bìng
29	病人	bìngrén
30	不大	bú dà
31	不对	búduì
32	不客气	bú kèqi
33	不用	búyòng
34	不	bù
35	菜	cài
36	茶	chá
37	差	chà
38	常	cháng
39	常常	chángcháng
40	唱	chàng
41	唱歌	chàng//gē
42	车	chē
43	车票	chēpiào
44	车上	chē shang
45	车站	chēzhàn
46	吃	chī
47	吃饭	chī//fàn
48	出	chū
49	出来	chū//·lái
50	出去	chū//·qù
51	穿	chuān
52	床	chuáng
53	次（量）	cì
54	从	cóng
55	错	cuò
56	打（动）	dǎ
57	打车	dǎ//chē
58	打电话	dǎ diànhuà
59	打开	dǎ//kāi
60	打球	dǎ qiú
61	大	dà
62	大学	dàxué
63	大学生	dàxuéshēng
64	到	dào
65	得到	dé//dào
66	地	de
67	的	de
68	等（动）	děng
69	地	dì
70	地点	dìdiǎn
71	地方	dìfang
72	地上	dìshang
73	地图	dìtú
74	弟弟|弟	dìdi|dì
75	第（第二）	dì
76	点	diǎn
77	电	diàn
78	电话	diànhuà
79	电脑	diànnǎo
80	电视	diànshì
81	电视机	diànshìjī
82	电影	diànyǐng
83	电影院	diànyǐngyuàn
84	东	dōng
85	东边	dōngbian
86	东西	dōngxi
87	动	dòng
88	动作	dòngzuò
89	都	dōu
90	读	dú
91	读书	dú//shū
92	对（形）	duì
93	对不起	duìbuqǐ
94	多（形、代）	duō
95	多少	duōshao
96	饿	è
97	儿子	érzi
98	二	èr
99	饭	fàn
100	饭店	fàndiàn
101	房间	fángjiān
102	房子	fángzi
103	放	fàng
104	放假	fàng//jià
105	放学	fàng//xué
106	飞	fēi
107	飞机	fēijī
108	非常	fēicháng
109	分（名、量）	fēn
110	风	fēng
111	干	gān
112	干净	gānjìng
113	干	gàn
114	干什么	gàn shénme
115	高	gāo
116	高兴	gāoxìng
117	告诉	gàosu
118	哥哥|哥	gēge|gē
119	歌	gē
120	个	gè
121	给	gěi
122	跟	gēn
123	工人	gōngrén
124	工作	gōngzuò
125	关（动）	guān
126	关上	guānshang
127	贵	guì
128	国	guó
129	国家	guójiā
130	国外	guó wài
131	过	guò
132	还	hái
133	还是	háishi
134	还有	hái yǒu
135	孩子	háizi
136	汉语	Hànyǔ
137	汉字	Hànzì
138	好（形）	hǎo
139	好吃	hǎochī
140	好看	hǎokàn
141	好听	hǎotīng
142	好玩ㄦ	hǎowánr
143	号	hào
144	喝	hē
145	和	hé
146	很	hěn
147	后	hòu
